"date","cases"
"1944-01-07",6
"1944-01-14",9
"1944-01-21",7
"1944-01-28",9
"1944-02-04",19
"1944-02-11",19
"1944-02-18",30
"1944-02-25",23
"1944-03-03",23
"1944-03-10",19
"1944-03-17",48
"1944-03-24",35
"1944-03-31",75
"1944-04-07",48
"1944-04-14",72
"1944-04-21",81
"1944-04-28",56
"1944-05-05",52
"1944-05-12",50
"1944-05-19",55
"1944-05-26",81
"1944-06-02",70
"1944-06-09",86
"1944-06-16",90
"1944-06-23",84
"1944-06-30",95
"1944-07-07",109
"1944-07-14",147
"1944-07-21",126
"1944-07-28",81
"1944-08-04",79
"1944-08-11",79
"1944-08-18",63
"1944-08-25",59
"1944-09-01",75
"1944-09-08",58
"1944-09-15",81
"1944-09-22",92
"1944-09-29",142
"1944-10-06",162
"1944-10-13",171
"1944-10-20",258
"1944-10-27",196
"1944-11-03",251
"1944-11-10",294
"1944-11-17",381
"1944-11-24",302
"1944-12-01",408
"1944-12-08",436
"1944-12-15",329
"1944-12-22",314
"1944-12-31",246
"1945-01-07",255
"1945-01-14",231
"1945-01-21",252
"1945-01-28",219
"1945-02-04",187
"1945-02-11",187
"1945-02-18",184
"1945-02-25",189
"1945-03-04",144
"1945-03-11",153
"1945-03-18",158
"1945-03-25",103
"1945-04-01",130
"1945-04-08",130
"1945-04-15",97
"1945-04-22",123
"1945-04-29",116
"1945-05-06",99
"1945-05-13",88
"1945-05-20",95
"1945-05-27",83
"1945-06-03",72
"1945-06-10",74
"1945-06-17",50
"1945-06-24",43
"1945-07-01",49
"1945-07-08",48
"1945-07-15",33
"1945-07-22",33
"1945-07-29",25
"1945-08-05",7
"1945-08-12",16
"1945-08-19",9
"1945-08-26",20
"1945-09-02",55
"1945-09-09",13
"1945-09-16",10
"1945-09-23",24
"1945-09-30",10
"1945-10-07",33
"1945-10-14",17
"1945-10-21",25
"1945-10-28",26
"1945-11-04",28
"1945-11-11",22
"1945-11-18",23
"1945-11-25",19
"1945-12-02",22
"1945-12-09",32
"1945-12-16",44
"1945-12-23",48
"1945-12-31",40
"1946-01-07",32
"1946-01-14",46
"1946-01-21",51
"1946-01-28",73
"1946-02-04",65
"1946-02-11",83
"1946-02-18",80
"1946-02-25",90
"1946-03-04",100
"1946-03-11",128
"1946-03-18",109
"1946-03-25",144
"1946-04-01",294
"1946-04-08",183
"1946-04-15",257
"1946-04-22",271
"1946-04-29",234
"1946-05-06",295
"1946-05-13",184
"1946-05-20",222
"1946-05-27",224
"1946-06-03",270
"1946-06-10",229
"1946-06-17",282
"1946-06-24",208
"1946-07-01",226
"1946-07-08",162
"1946-07-15",188
"1946-07-22",157
"1946-07-29",127
"1946-08-05",68
"1946-08-12",76
"1946-08-19",48
"1946-08-26",38
