"date","cases"
"1944-01-07",82
"1944-01-14",98
"1944-01-21",118
"1944-01-28",153
"1944-02-04",206
"1944-02-11",217
"1944-02-18",226
"1944-02-25",239
"1944-03-03",279
"1944-03-10",244
"1944-03-17",286
"1944-03-24",363
"1944-03-31",300
"1944-04-07",324
"1944-04-14",273
"1944-04-21",283
"1944-04-28",207
"1944-05-05",213
"1944-05-12",210
"1944-05-19",213
"1944-05-26",217
"1944-06-02",271
"1944-06-09",242
"1944-06-16",199
"1944-06-23",139
"1944-06-30",129
"1944-07-07",130
"1944-07-14",130
"1944-07-21",90
"1944-07-28",73
"1944-08-04",47
"1944-08-11",36
"1944-08-18",39
"1944-08-25",21
"1944-09-01",27
"1944-09-08",14
"1944-09-15",29
"1944-09-22",19
"1944-09-29",27
"1944-10-06",38
"1944-10-13",28
"1944-10-20",54
"1944-10-27",65
"1944-11-03",80
"1944-11-10",57
"1944-11-17",65
"1944-11-24",110
"1944-12-01",84
"1944-12-08",123
"1944-12-15",114
"1944-12-22",163
"1944-12-31",155
"1945-01-07",240
"1945-01-14",210
"1945-01-21",290
"1945-01-28",381
"1945-02-04",573
"1945-02-11",814
"1945-02-18",640
"1945-02-25",977
"1945-03-04",986
"1945-03-11",1072
"1945-03-18",1498
"1945-03-25",1601
"1945-04-01",1652
"1945-04-08",1688
"1945-04-15",1651
"1945-04-22",1314
"1945-04-29",1058
"1945-05-06",815
"1945-05-13",822
"1945-05-20",819
"1945-05-27",614
"1945-06-03",508
"1945-06-10",472
"1945-06-17",412
"1945-06-24",342
"1945-07-01",249
"1945-07-08",220
"1945-07-15",207
"1945-07-22",153
"1945-07-29",129
"1945-08-05",113
"1945-08-12",61
"1945-08-19",66
"1945-08-26",61
"1945-09-02",48
"1945-09-09",36
"1945-09-16",46
"1945-09-23",51
"1945-09-30",35
"1945-10-07",33
"1945-10-14",48
"1945-10-21",40
"1945-10-28",47
"1945-11-04",32
"1945-11-11",23
"1945-11-18",35
"1945-11-25",42
"1945-12-02",43
"1945-12-09",33
"1945-12-16",42
"1945-12-23",52
"1945-12-31",69
"1946-01-07",88
"1946-01-14",86
"1946-01-21",109
"1946-01-28",100
"1946-02-04",221
"1946-02-11",237
"1946-02-18",353
"1946-02-25",389
"1946-03-04",372
"1946-03-11",557
"1946-03-18",430
"1946-03-25",597
"1946-04-01",675
"1946-04-08",736
"1946-04-15",950
"1946-04-22",935
"1946-04-29",1054
"1946-05-06",1056
"1946-05-13",928
"1946-05-20",836
"1946-05-27",1034
"1946-06-03",967
"1946-06-10",1073
"1946-06-17",1081
"1946-06-24",977
"1946-07-01",866
"1946-07-08",797
"1946-07-15",630
"1946-07-22",492
"1946-07-29",478
"1946-08-05",376
"1946-08-12",350
"1946-08-19",255
"1946-08-26",161
"1946-09-02",125
"1946-09-09",93
"1946-09-16",78
"1946-09-23",82
"1946-09-30",69
"1946-10-07",91
"1946-10-14",72
"1946-10-21",116
"1946-10-28",105
"1946-11-04",119
"1946-11-11",157
"1946-11-18",141
"1946-11-25",215
"1946-12-02",221
"1946-12-09",239
"1946-12-16",243
"1946-12-23",239
"1946-12-31",229
"1947-01-06",359
"1947-01-13",291
"1947-01-20",378
"1947-01-27",418
"1947-02-03",482
"1947-02-10",583
"1947-02-17",597
"1947-02-24",644
"1947-03-02",656
"1947-03-09",574
"1947-03-16",499
"1947-03-23",513
"1947-03-30",541
"1947-04-06",440
"1947-04-13",525
"1947-04-20",490
"1947-04-27",408
"1947-05-03",363
"1947-05-10",499
"1947-05-17",532
"1947-05-24",548
"1947-05-31",545
"1947-06-07",681
"1947-06-14",515
"1947-06-21",637
"1947-06-28",439
"1947-07-04",556
"1947-07-11",473
"1947-07-18",455
"1947-07-25",373
"1947-08-01",366
"1947-08-08",303
"1947-08-15",229
"1947-08-22",143
"1947-08-29",110
"1947-09-04",61
"1947-09-11",36
"1947-09-18",48
"1947-09-25",39
"1947-10-02",32
"1947-10-09",50
"1947-10-16",63
"1947-10-23",41
"1947-10-30",67
"1947-11-05",72
"1947-11-12",116
"1947-11-19",120
"1947-11-26",121
"1947-12-03",149
"1947-12-10",156
"1947-12-17",133
"1947-12-24",115
"1947-12-31",251
"1948-01-07",226
"1948-01-14",240
"1948-01-21",284
"1948-01-28",340
"1948-02-04",511
"1948-02-11",649
"1948-02-18",766
"1948-02-25",932
"1948-03-03",1303
"1948-03-10",1257
"1948-03-17",1716
"1948-03-24",1425
"1948-03-31",1719
"1948-04-07",1809
"1948-04-14",1360
"1948-04-21",1147
"1948-04-28",1101
"1948-05-05",936
"1948-05-12",1040
"1948-05-19",994
"1948-05-26",1134
"1948-06-02",818
"1948-06-09",1083
"1948-06-16",755
"1948-06-23",880
"1948-06-30",680
"1948-07-07",585
"1948-07-14",602
"1948-07-21",552
"1948-07-28",457
"1948-08-04",430
"1948-08-11",287
"1948-08-18",189
"1948-08-25",149
"1948-09-01",120
"1948-09-08",88
"1948-09-15",83
"1948-09-22",91
"1948-09-29",94
"1948-10-06",79
"1948-10-13",78
"1948-10-20",86
"1948-10-27",119
"1948-11-03",123
"1948-11-10",108
"1948-11-17",135
"1948-11-24",127
"1948-12-01",157
"1948-12-08",176
"1948-12-15",180
"1948-12-22",110
"1948-12-31",294
"1949-01-07",318
"1949-01-14",320
"1949-01-21",357
"1949-01-28",487
"1949-02-04",496
"1949-02-11",809
"1949-02-18",777
"1949-02-25",831
"1949-03-04",1081
"1949-03-11",1034
"1949-03-18",1231
"1949-03-25",1274
"1949-04-01",1487
"1949-04-08",1753
"1949-04-15",1635
"1949-04-22",1699
"1949-04-29",1541
"1949-05-06",1170
"1949-05-13",1108
"1949-05-20",1105
"1949-05-27",953
"1949-06-03",1083
"1949-06-10",801
"1949-06-17",908
"1949-06-24",613
"1949-07-01",714
"1949-07-08",523
"1949-07-15",490
"1949-07-22",379
"1949-07-29",303
"1949-08-05",273
"1949-08-12",223
"1949-08-19",158
"1949-08-26",120
"1949-09-02",92
"1949-09-09",66
"1949-09-16",42
"1949-09-23",50
"1949-09-30",40
"1949-10-07",28
"1949-10-14",44
"1949-10-21",33
"1949-10-28",63
"1949-11-04",33
"1949-11-11",28
"1949-11-18",23
"1949-11-25",28
"1949-12-02",31
"1949-12-09",26
"1949-12-16",34
"1949-12-23",32
"1949-12-31",47
"1950-01-07",43
"1950-01-14",54
"1950-01-21",36
"1950-01-28",24
"1950-02-04",42
"1950-02-11",38
"1950-02-18",71
"1950-02-25",45
"1950-03-04",75
"1950-03-11",60
"1950-03-18",54
"1950-03-25",98
"1950-04-01",118
"1950-04-08",91
"1950-04-15",171
"1950-04-22",174
"1950-04-29",203
"1950-05-06",141
"1950-05-13",262
"1950-05-20",366
"1950-05-27",463
"1950-06-03",478
"1950-06-10",613
"1950-06-17",529
"1950-06-24",645
"1950-07-01",626
"1950-07-08",649
"1950-07-15",647
"1950-07-22",601
"1950-07-29",580
"1950-08-05",664
"1950-08-12",474
"1950-08-19",362
"1950-08-26",316
"1950-09-02",199
"1950-09-09",162
"1950-09-16",146
"1950-09-23",201
"1950-09-30",217
"1950-10-07",289
"1950-10-14",303
"1950-10-21",366
"1950-10-28",471
"1950-11-04",512
"1950-11-11",544
"1950-11-18",766
"1950-11-25",827
"1950-12-02",1210
"1950-12-09",1236
"1950-12-16",1534
"1950-12-23",1556
"1950-12-31",1922
"1951-01-07",2753
"1951-01-14",2425
"1951-01-21",2185
"1951-01-28",2210
"1951-02-04",2368
"1951-02-11",2929
"1951-02-18",3178
"1951-02-25",3746
"1951-03-04",3315
"1951-03-11",3501
"1951-03-18",3136
"1951-03-25",2518
"1951-04-01",2360
"1951-04-08",2083
"1951-04-15",1610
"1951-04-22",1211
"1951-04-29",1017
"1951-05-06",871
"1951-05-13",881
"1951-05-20",701
"1951-05-27",748
"1951-06-03",540
"1951-06-10",420
"1951-06-17",426
"1951-06-24",335
"1951-07-01",230
"1951-07-08",226
"1951-07-15",187
"1951-07-22",155
"1951-07-29",114
"1951-08-05",93
"1951-08-12",69
"1951-08-19",58
"1951-08-26",51
"1951-09-02",68
"1951-09-09",50
"1951-09-16",35
"1951-09-23",41
"1951-09-30",18
"1951-10-07",22
"1951-10-14",32
"1951-10-21",71
"1951-10-28",53
"1951-11-04",65
"1951-11-11",50
"1951-11-18",47
"1951-11-25",22
"1951-12-02",28
"1951-12-09",30
"1951-12-16",16
"1951-12-23",28
"1951-12-31",19
"1952-01-06",46
"1952-01-13",33
"1952-01-20",44
"1952-01-27",41
"1952-02-03",50
"1952-02-10",65
"1952-02-17",103
"1952-02-24",123
"1952-03-01",153
"1952-03-08",218
"1952-03-15",256
"1952-03-22",201
"1952-03-29",270
"1952-04-05",231
"1952-04-12",210
"1952-04-19",294
"1952-04-26",275
"1952-05-02",222
"1952-05-09",240
"1952-05-16",320
"1952-05-23",330
"1952-05-30",519
"1952-06-06",553
"1952-06-13",745
"1952-06-20",639
"1952-06-27",714
"1952-07-03",605
"1952-07-10",791
"1952-07-17",730
"1952-07-24",844
"1952-07-31",944
